Mach	Alpha	CA Power-On	CN	CP
0.79	2	0.605848604	0.805897084	128.4528665
0.8	2	0.605331448	0.805897084	128.4528665
0.81	2	0.604826271	0.805897084	128.4528665
0.82	2	0.60433276	0.805897084	128.4528665
0.83	2	0.603850521	0.805897084	128.4528665
0.84	2	0.603379291	0.805897084	128.4528665
0.85	2	0.602918718	0.805897084	128.4528665
0.86	2	0.602468496	0.805897084	128.4528665
0.87	2	0.6020284	0.805897084	128.4528665
0.88	2	0.601598109	0.805897084	128.4528665
0.89	2	0.601177378	0.805897084	128.4528665
0.9	2	0.600765936	0.805897084	128.4528665
0.91	2	0.604851144	0.80173249	128.6489201
0.92	2	0.61710677	0.797567897	128.8449737
0.93	2	0.629752561	0.793403304	129.0410273
0.94	2	0.636660707	0.789238711	129.2370808
0.95	2	0.643568854	0.785074117	129.4331344
0.96	2	0.650477	0.780909524	129.629188
0.97	2	0.657385146	0.776744931	129.8252416
0.98	2	0.664293292	0.772580338	130.0212952
0.99	2	0.671201438	0.768415744	130.2173488
1	2	0.678109584	0.764251151	130.4134023
0.01	4	1.219569061	1.730270476	126.3950588
0.02	4	1.064430148	1.730270476	126.3950588
0.03	4	0.986782992	1.730270476	126.3950588
0.04	4	0.936660095	1.730270476	126.3950588
0.05	4	0.900338368	1.730270476	126.3950588
0.06	4	0.872195336	1.730270476	126.3950588
0.07	4	0.849412733	1.730270476	126.3950588
0.08	4	0.830389771	1.730270476	126.3950588
0.09	4	0.814135782	1.730270476	126.3950588
0.1	4	0.799997974	1.730270476	126.3950588
0.11	4	0.787524764	1.730270476	126.3950588
0.12	4	0.776392138	1.730270476	126.3950588
0.13	4	0.766359731	1.730270476	126.3950588
0.14	4	0.75724516	1.730270476	126.3950588
0.15	4	0.748906526	1.730270476	126.3950588
0.16	4	0.741231832	1.730270476	126.3950588
0.17	4	0.734130916	1.730270476	126.3950588
0.18	4	0.72753042	1.730270476	126.3950588
0.19	4	0.721369801	1.730270476	126.3950588
0.2	4	0.71559844	1.730270476	126.3950588
0.21	4	0.710173979	1.730270476	126.3950588
0.22	4	0.705060215	1.730270476	126.3950588
0.23	4	0.700226308	1.730270476	126.3950588
0.24	4	0.695645557	1.730270476	126.3950588
0.25	4	0.691294905	1.730270476	126.3950588
0.26	4	0.687637751	1.730270476	126.3950588
0.27	4	0.684165948	1.730270476	126.3950588
0.28	4	0.680864403	1.730270476	126.3950588
0.29	4	0.677719637	1.730270476	126.3950588
0.3	4	0.674719709	1.730270476	126.3950588
0.31	4	0.671853913	1.730270476	126.3950588
0.32	4	0.669112698	1.730270476	126.3950588
0.33	4	0.666487414	1.730270476	126.3950588
0.34	4	0.66397027	1.730270476	126.3950588
0.35	4	0.66155419	1.730270476	126.3950588
0.36	4	0.659232798	1.730270476	126.3950588
0.37	4	0.657000243	1.730270476	126.3950588
0.38	4	0.65485117	1.730270476	126.3950588
0.39	4	0.652780712	1.730270476	126.3950588
0.4	4	0.650784338	1.730270476	126.3950588
0.41	4	0.648857996	1.730270476	126.3950588
0.42	4	0.646997815	1.730270476	126.3950588
0.43	4	0.645200321	1.730270476	126.3950588
0.44	4	0.643462266	1.730270476	126.3950588
0.45	4	0.641780622	1.730270476	126.3950588
0.46	4	0.640152634	1.730270476	126.3950588
0.47	4	0.638575616	1.730270476	126.3950588
0.48	4	0.637047225	1.730270476	126.3950588
0.49	4	0.635565142	1.730270476	126.3950588
0.5	4	0.634127327	1.730270476	126.3950588
0.51	4	0.632731756	1.730270476	126.3950588
0.52	4	0.631376541	1.730270476	126.3950588
0.53	4	0.630059966	1.730270476	126.3950588
0.54	4	0.628780452	1.730270476	126.3950588
0.55	4	0.627536391	1.730270476	126.3950588
0.56	4	0.626326433	1.730270476	126.3950588
0.57	4	0.625149114	1.730270476	126.3950588
